route_long_name,route_type,agency_id,route_id,route_url,route_desc,route_short_name
Elmwood/Airport,3,RIPTA,20-58,http://www.ripta.com/20,,20
Elmwood/Airport,3,RIPTA,20-57,http://www.ripta.com/20,,20
Pontiac Avenue,3,RIPTA,22-57,http://www.ripta.com/22,,22
Newport/URI-Kingston,3,RIPTA,64-58,http://www.ripta.com/64,,64
Newport/URI-Kingston,3,RIPTA,64-57,http://www.ripta.com/64,,64
Pontiac Avenue,3,RIPTA,22-58,http://www.ripta.com/22,,22
Broadway/Hartford,3,RIPTA,28-57,http://www.ripta.com/28,,28
Bellevue/Mansions/Salve Regina University,3,RIPTA,67-58,http://www.ripta.com/67,,67
Broadway/Hartford,3,RIPTA,28-58,http://www.ripta.com/28,,28
Westerly Express,3,RIPTA,95-57,http://www.ripta.com/95,,95X
Coventry/Arctic/Warwick Mall,3,RIPTA,13-57,http://www.ripta.com/13,,13
West Bay,3,RIPTA,14-57,http://www.ripta.com/14,,14
West Bay,3,RIPTA,14-58,http://www.ripta.com/14,,14
Coventry/Arctic/Warwick Mall,3,RIPTA,13-58,http://www.ripta.com/13,,13
Kent County,3,RIPTA,29-57,http://www.ripta.com/29,,29
Fairlawn/CCRI-Lincoln/Twin River Casino,3,RIPTA,73-58,http://www.ripta.com/73,,73
Riverside,3,RIPTA,33-57,http://www.ripta.com/33,,33
Arlington/Oaklawn,3,RIPTA,30-57,http://www.ripta.com/30,,30
Arlington/Oaklawn,3,RIPTA,30-58,http://www.ripta.com/30,,30
Riverside,3,RIPTA,33-58,http://www.ripta.com/33,,33
Fairlawn/CCRI-Lincoln/Twin River Casino,3,RIPTA,73-57,http://www.ripta.com/73,,73
URI-Kingston/Galilee,3,RIPTA,66-57,http://www.ripta.com/66,,66
Union Avenue,3,RIPTA,18-57,http://www.ripta.com/18,,18
Prairie Avenue,3,RIPTA,6-57,http://www.ripta.com/6,,6
Union Avenue,3,RIPTA,18-58,http://www.ripta.com/18,,18
URI-Kingston/Galilee,3,RIPTA,66-58,http://www.ripta.com/66,,66
Reservoir/Garden City/CCRI-Warwick,3,RIPTA,21-57,http://www.ripta.com/21,,21
Reservoir/Garden City/CCRI-Warwick,3,RIPTA,21-58,http://www.ripta.com/21,,21
Fairmount/Walnut Hill,3,RIPTA,87-58,http://www.ripta.com/87,,87
Dexter Street/Lincoln Mall,3,RIPTA,75-57,http://www.ripta.com/75,,75
North Scituate Express,3,RIPTA,10-58,http://www.ripta.com/10,,10X
North Scituate Express,3,RIPTA,10-57,http://www.ripta.com/10,,10X
Dexter Street/Lincoln Mall,3,RIPTA,75-58,http://www.ripta.com/75,,75
Fairmount/Walnut Hill,3,RIPTA,87-57,http://www.ripta.com/87,,87
Pawtucket Avenue/Broad Street (Pawtucket),3,RIPTA,71-57,http://www.ripta.com/71,,71
Pawtucket Avenue/Broad Street (Pawtucket),3,RIPTA,71-58,http://www.ripta.com/71,,71
Prairie Avenue,3,RIPTA,6-58,http://www.ripta.com/6,,6
Bellevue/Mansions/Salve Regina University,3,RIPTA,67-57,http://www.ripta.com/67,,67
North Smithfield/Lincoln Express,3,RIPTA,59-58,http://www.ripta.com/59,,59X
North Smithfield/Lincoln Express,3,RIPTA,59-57,http://www.ripta.com/59,,59X
Admiral Street/Providence College,3,RIPTA,55-57,http://www.ripta.com/55,,55
Chalkstone Avenue,3,RIPTA,56-57,http://www.ripta.com/56,,56
Chalkstone Avenue,3,RIPTA,56-58,http://www.ripta.com/56,,56
Admiral Street/Providence College,3,RIPTA,55-58,http://www.ripta.com/55,,55
Arctic/R.I. Route117 Express,3,RIPTA,12-58,http://www.ripta.com/12,,12X
East Providence/Wampanoag Trail,3,RIPTA,32-57,http://www.ripta.com/32,,32
Beverage Hill (East Providence),3,RIPTA,78-57,http://www.ripta.com/78,,78
Camp Street,3,RIPTA,49-58,http://www.ripta.com/49,,49
Camp Street,3,RIPTA,49-57,http://www.ripta.com/49,,49
Cranston Street,3,RIPTA,31-57,http://www.ripta.com/31,,31
East Providence/Wampanoag Trail,3,RIPTA,32-58,http://www.ripta.com/32,,32
Arctic/R.I. Route117 Express,3,RIPTA,12-57,http://www.ripta.com/12,,12X
Broadway (Newport-Middletown),3,RIPTA,63-58,http://www.ripta.com/63,,63
URI-Kingston Campus Hillclimber,3,RIPTA,69-57,,,69
Charles Street,3,RIPTA,51-57,http://www.ripta.com/51,,51
Charles Street,3,RIPTA,51-58,http://www.ripta.com/51,,51
Broadway (Newport-Middletown),3,RIPTA,63-57,http://www.ripta.com/63,,63
Douglas Avenue,3,RIPTA,50-58,http://www.ripta.com/50,,50
Rumford/Newport Avenue,3,RIPTA,35-58,http://www.ripta.com/35,,35
Douglas Avenue,3,RIPTA,50-57,http://www.ripta.com/50,,50
Eddy/Hope/Benefit,3,RIPTA,1-58,http://www.ripta.com/1,,1
East Providence,3,RIPTA,34-57,http://www.ripta.com/34,,34
Wakefield Express,3,RIPTA,65-57,http://www.ripta.com/65,,65X
Butler/Elmgrove,3,RIPTA,40-58,http://www.ripta.com/40,,40
Butler/Elmgrove,3,RIPTA,40-57,http://www.ripta.com/40,,40
Wakefield Express,3,RIPTA,65-58,http://www.ripta.com/65,,65X
East Providence,3,RIPTA,34-58,http://www.ripta.com/34,,34
Eddy/Hope/Benefit,3,RIPTA,1-57,http://www.ripta.com/1,,1
Broadway/Manton,3,RIPTA,27-58,http://www.ripta.com/27,,27
Tiverton/East Bay Express,3,RIPTA,61-58,http://www.ripta.com/61-1,,61X
Tiverton/East Bay Express,3,RIPTA,61-57,http://www.ripta.com/61-1,,61X
Broadway/Manton,3,RIPTA,27-57,http://www.ripta.com/27,,27
Armistice Boulevard,3,RIPTA,80-58,http://www.ripta.com/80,,80
Armistice Boulevard,3,RIPTA,80-57,http://www.ripta.com/80,,80
Mineral Spring/North Providence,3,RIPTA,58-57,http://www.ripta.com/58,,58
Mineral Spring/North Providence,3,RIPTA,58-58,http://www.ripta.com/58,,58
Jefferson Boulevard,3,RIPTA,8-58,http://www.ripta.com/8,,8X
Cranston Street,3,RIPTA,31-58,http://www.ripta.com/31,,31
Weeden Street (Central Falls),3,RIPTA,72-57,http://www.ripta.com/72,,72
Weeden Street (Central Falls),3,RIPTA,72-58,http://www.ripta.com/72,,72
Rumford/Newport Avenue,3,RIPTA,35-57,http://www.ripta.com/35,,35
Jefferson Boulevard,3,RIPTA,8-57,http://www.ripta.com/8,,8X
Lincoln/Woonsocket,3,RIPTA,54-57,http://www.ripta.com/54,,54
Smith Street,3,RIPTA,57-58,http://www.ripta.com/57,,57
Central Avenue,3,RIPTA,76-58,http://www.ripta.com/76,,76
East Side/Federal Hill/RI College,3,RIPTA,92-57,http://www.ripta.com/92,,92
East Side/Federal Hill/RI College,3,RIPTA,92-58,http://www.ripta.com/92,,92
Central Avenue,3,RIPTA,76-57,http://www.ripta.com/76,,76
Smith Street,3,RIPTA,57-57,http://www.ripta.com/57,,57
Lincoln/Woonsocket,3,RIPTA,54-58,http://www.ripta.com/54,,54
Providence Schools Service,3,RIPTA,4-57,,,4
Beverage Hill (East Providence),3,RIPTA,78-58,http://www.ripta.com/78,,78
Kent County,3,RIPTA,29-58,http://www.ripta.com/29,,29
Branch Avenue/Bryant University,3,RIPTA,52-57,http://www.ripta.com/52,,52
Branch Avenue/Bryant University,3,RIPTA,52-58,http://www.ripta.com/52,,52
Broad/North Main,3,RIPTA,11-58,http://www.ripta.com/11-1,,R
Pascoag,3,RIPTA,9-57,http://www.ripta.com/9,,9X
Warwick Avenue,3,RIPTA,3-58,http://www.ripta.com/3,,3
Warwick Avenue,3,RIPTA,3-57,http://www.ripta.com/3,,3
Pascoag,3,RIPTA,9-58,http://www.ripta.com/9,,9X
Broad/North Main,3,RIPTA,11-57,http://www.ripta.com/11-1,,R
Westerly Express,3,RIPTA,95-58,http://www.ripta.com/95,,95X
Dyer/Pocasset/Westminster,3,RIPTA,17-57,http://www.ripta.com/17,,17
Providence/Newport,3,RIPTA,60-58,http://www.ripta.com/60,,60
Plainfield/Westminster,3,RIPTA,19-57,http://www.ripta.com/19,,19
Plainfield/Westminster,3,RIPTA,19-58,http://www.ripta.com/19,,19
Providence/Newport,3,RIPTA,60-57,http://www.ripta.com/60,,60
Dyer/Pocasset/Westminster,3,RIPTA,17-58,http://www.ripta.com/17,,17
